1723787384900|111|statement|connection 9|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723787385012|111|statement|connection 9|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723787649261|105|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723787649373|97|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723787649474|100|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723787868811|101|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723787868919|93|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723787869016|95|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723788076652|106|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723788076762|95|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723788076856|98|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723788310560|122|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
